Date,Homicide and other related violations,Invitation to sexual touching,Sexual exploitation,Luring a child via a computer,Voyeurism,Non-consensual distribution of intimate images,Extortion,Criminal harassment,Indecent/Harassing communications,Uttering threats,Other violent violations,Fraud,Identity theft,Identity fraud,Mischief,Other non-violent violations,Fail to comply with order,Indecent acts,Child pornography,Making or distribution of child pornography,Corrupting morals,Breach of probation,Utter threats to property or animal,Offences against the person and reputation (Part VIII Criminal Code),Other Criminal Code,Other violations
20140107,0,2,0,4,1,0,10,26,22,41,2,191,2,23,6,0,3,1,34,0,1,0,0,2,2,1
20140114,0,7,0,14,1,0,6,27,6,19,2,226,8,9,3,0,0,1,16,0,1,1,1,2,3,0
20140121,0,6,0,30,0,0,23,13,19,37,1,186,8,33,4,0,1,1,63,0,0,0,1,3,1,0
20140128,0,4,0,41,1,0,23,24,25,38,1,249,8,29,0,1,2,1,10,0,1,1,1,3,2,0
20140204,0,3,0,38,1,0,17,16,32,46,2,224,8,25,5,1,2,0,64,0,1,1,1,2,1,0
20140211,0,1,1,42,0,0,15,27,24,39,2,367,9,32,3,1,2,1,34,0,0,1,1,3,2,0
20140218,0,1,0,48,0,0,18,13,27,35,1,226,7,26,3,0,0,1,16,0,1,1,1,4,2,1
20140225,0,4,0,36,1,0,17,28,32,33,2,318,10,36,2,1,1,0,20,0,0,1,1,2,3,0
20140304,0,5,0,3,0,0,3,23,6,2,2,221,1,8,5,0,3,1,17,0,1,0,1,2,1,0
20140311,0,2,0,19,1,0,4,26,21,0,0,36,2,18,0,0,1,0,50,0,0,1,1,3,0,0
20140318,0,1,0,3,0,0,3,21,2,0,2,40,1,2,2,0,1,1,24,0,0,1,0,2,1,0
20140325,0,3,0,15,0,0,4,22,18,18,2,78,1,23,4,0,2,1,11,0,1,1,1,3,2,1
20140401,0,5,0,17,0,0,4,22,9,29,1,82,1,15,5,0,2,1,58,0,0,1,1,2,1,0
20140408,0,7,0,29,0,0,14,28,14,35,2,276,6,29,5,0,3,1,59,0,0,1,1,3,1,1
20140415,0,6,2,27,0,0,16,4,23,33,0,203,7,26,3,0,1,1,49,0,1,1,1,1,3,0
20140422,0,3,0,13,1,0,2,3,6,1,1,29,2,17,3,0,0,0,31,0,0,0,0,3,2,0
20140429,0,4,0,18,0,0,3,20,6,16,0,56,2,13,2,0,1,1,47,0,1,1,0,3,1,1
20140506,0,7,0,18,1,0,10,11,7,12,1,42,3,17,4,0,3,0,16,0,1,0,1,1,1,0
20140513,0,1,0,8,1,0,7,1,20,27,0,95,4,20,4,0,1,1,40,0,0,1,1,2,1,0
20140520,0,4,1,12,0,0,3,2,6,4,0,16,2,3,4,0,1,0,53,0,1,0,1,2,1,0
20140527,0,2,0,3,0,0,6,9,4,3,1,129,1,2,6,0,2,0,11,0,1,1,0,1,1,0
20140603,0,0,0,5,1,0,1,20,8,16,1,121,1,2,3,0,1,0,62,0,1,1,1,2,2,0
20140610,0,4,0,19,1,0,0,19,15,16,0,64,4,17,2,0,1,1,61,0,0,1,1,3,0,1
20140617,0,1,1,28,1,0,19,22,21,23,1,212,6,19,3,0,1,0,20,0,0,0,1,3,1,0
20140624,0,7,0,26,1,0,16,17,23,34,1,298,4,21,4,0,2,1,41,0,0,0,0,1,1,1
20140701,0,3,0,27,1,0,13,29,29,33,2,292,7,24,3,0,3,0,53,0,1,0,1,3,3,0
20140708,0,4,0,30,0,0,14,4,19,21,0,220,5,26,4,0,1,0,9,0,0,0,1,1,2,0
20140715,0,2,1,28,0,0,6,23,25,37,2,130,3,8,2,0,0,1,25,0,0,0,1,3,2,0
20140722,0,2,0,27,1,0,16,16,19,34,1,223,5,29,0,0,3,0,53,0,0,1,1,1,3,0
20140729,0,1,1,20,1,0,14,16,25,34,0,175,4,24,1,0,3,0,60,0,1,1,0,2,2,0
20140805,0,1,0,24,0,0,8,22,13,26,1,196,5,18,5,0,3,0,52,0,0,1,1,3,3,0
20140812,0,0,0,24,0,0,13,7,22,23,1,195,6,27,4,0,1,1,49,0,0,1,1,2,1,1
20140819,0,5,0,21,1,0,12,29,23,21,1,137,4,24,2,0,2,0,47,0,0,1,1,3,0,1
20140826,0,4,1,21,0,0,10,13,10,20,2,125,5,17,3,0,2,0,61,0,0,1,0,1,3,1
20140902,0,4,0,7,0,0,10,29,12,11,0,114,6,19,2,0,3,0,22,0,0,1,1,2,2,0
20140909,0,1,0,4,0,0,2,29,3,6,1,78,3,1,5,0,1,0,56,0,0,1,0,1,2,1
20140916,0,4,0,13,1,0,1,24,11,12,1,110,2,7,6,0,2,1,46,0,0,1,0,3,1,1
20140923,0,6,0,11,1,0,1,28,0,3,1,76,1,11,4,0,4,1,34,0,0,1,0,1,2,0
20140930,0,1,1,3,0,0,3,21,1,6,0,54,1,1,2,0,4,0,56,0,1,1,0,0,1,0
20141007,0,5,0,25,1,0,8,5,20,18,0,185,5,29,0,0,1,1,30,0,0,1,0,0,1,1
20141014,0,2,0,25,1,0,7,22,21,24,0,177,5,20,3,0,0,0,60,0,0,0,1,3,2,0
20141021,0,1,0,15,0,0,6,23,8,16,0,86,4,9,4,0,3,0,57,0,1,0,0,0,0,0
20141028,0,2,0,8,1,0,5,0,3,10,0,41,1,1,3,0,1,1,32,0,0,1,1,3,1,1
20141104,0,5,1,14,0,0,6,20,14,15,0,194,2,24,0,0,4,0,4,0,0,1,0,1,1,0
20141111,0,0,0,18,0,0,7,6,2,17,1,103,4,9,0,0,3,0,46,0,0,1,0,4,2,0
20141118,0,0,0,8,1,0,4,3,4,10,1,57,2,0,2,0,2,0,62,0,1,0,1,0,0,0
20141125,0,4,0,4,0,0,4,29,6,6,0,22,0,2,3,0,3,1,29,0,1,1,0,1,3,0
20141202,0,0,1,8,1,0,5,6,10,10,2,23,3,15,3,0,4,0,2,0,0,1,0,1,1,1
