Date,GDP
20140101,1773250
20140201,1782226
20140301,1787024
20140401,1790684
20140501,1802034
20140601,1810319
20140701,1812914
20140801,1809135
20140901,1816399
20141001,1821619
20141101,1822817
20141201,1825584
20150101,1817974
20150201,1815506
20150301,1814460
20150401,1813921
20150501,1812920
20150601,1817855
20150701,1822436
20150801,1826294
20150901,1818765
20151001,1820488
20151101,1824776
20151201,1826829
20160101,1837860
20160201,1832584
20160301,1825855
20160401,1830002
20160501,1819666
20160601,1828411
20160701,1839206
20160801,1843452
20160901,1848118
20161001,1847038
20161101,1853836
20161201,1858876
20170101,1867798
20170201,1872099
20170301,1878420
20170401,1887380
20170501,1894834
20170601,1898387
20170701,1901643
20170801,1900327
20170901,1903852
20171001,1907305
20171101,1916041
20171201,1922738
20180101,1922784
20180201,1930694
20180301,1935532
20180401,1937496
20180501,1948948
20180601,1950488
20180701,1957338
20180801,1961105
20180901,1963911
20181001,1967946
20181101,1963948
20181201,1964898
20190101,1966439
20190201,1962946
20190301,1974072
20190401,1984086
20190501,1991679
20190601,1995768
20190701,1996463
20190801,1996572
20190901,1999283
20191001,2000634
20191101,2000233
20191201,2007421
20200101,2010802
20200201,2014964
20200301,1863478
20200401,1662008
20200501,1735686
20200601,1836134
20200701,1883201
20200801,1901415
20200901,1918805
20201001,1930273
20201101,1943992
20201201,1948654
20210101,1957148
20210201,1961960
20210301,1980323
20210401,1960536
20210501,1950246
20210601,1966023
20210701,1976370
20210801,1987967
20210901,1994605
20211001,2010389
20211101,2019838
20211201,2022291
