Date,GDP,Unemployment_rate,ICT_employment
20140107,1773250,7.2,551800
20140114,1773250,7.2,551800
20140121,1773250,7.2,551800
20140128,1773250,7.2,551800
20140204,1782226,7.2,552000
20140211,1782226,7.2,552000
20140218,1782226,7.2,552000
20140225,1782226,7.2,552000
20140304,1787024,7.1,553000
20140311,1787024,7.1,553000
20140318,1787024,7.1,553000
20140325,1787024,7.1,553000
20140401,1790684,7.1,555000
20140408,1790684,7.1,555000
20140415,1790684,7.1,555000
20140422,1790684,7.1,555000
20140429,1790684,7.1,555000
20140506,1802034,7.3,556000
20140513,1802034,7.3,556000
20140520,1802034,7.3,556000
20140527,1802034,7.3,556000
20140603,1810319,7.1,556800
20140610,1810319,7.1,556800
20140617,1810319,7.1,556800
20140624,1810319,7.1,556800
20140701,1812914,7.1,557300
20140708,1812914,7.1,557300
20140715,1812914,7.1,557300
20140722,1812914,7.1,557300
20140729,1812914,7.1,557300
20140805,1809135,7,558700
20140812,1809135,7,558700
20140819,1809135,7,558700
20140826,1809135,7,558700
20140902,1816399,7,559900
20140909,1816399,7,559900
20140916,1816399,7,559900
20140923,1816399,7,559900
20140930,1816399,7,559900
20141007,1821619,6.8,560400
20141014,1821619,6.8,560400
20141021,1821619,6.8,560400
20141028,1821619,6.8,560400
20141104,1822817,6.8,560800
20141111,1822817,6.8,560800
20141118,1822817,6.8,560800
20141125,1822817,6.8,560800
20141202,1825584,6.7,561200
20141209,1825584,6.7,561200
20141216,1825584,6.7,561200
20141223,1825584,6.7,561200
20141231,1825584,6.7,561200
20150107,1817974,6.8,563200
20150114,1817974,6.8,563200
20150121,1817974,6.8,563200
20150128,1817974,6.8,563200
20150204,1815506,6.9,564400
20150211,1815506,6.9,564400
20150218,1815506,6.9,564400
20150225,1815506,6.9,564400
20150304,1814460,6.8,565200
20150311,1814460,6.8,565200
20150318,1814460,6.8,565200
20150325,1814460,6.8,565200
20150401,1813921,6.9,566400
20150408,1813921,6.9,566400
20150415,1813921,6.9,566400
20150422,1813921,6.9,566400
20150429,1813921,6.9,566400
20150506,1812920,6.8,567600
20150513,1812920,6.8,567600
20150520,1812920,6.8,567600
20150527,1812920,6.8,567600
20150603,1817855,6.9,569400
20150610,1817855,6.9,569400
20150617,1817855,6.9,569400
20150624,1817855,6.9,569400
20150701,1822436,6.9,572000
20150708,1822436,6.9,572000
20150715,1822436,6.9,572000
20150722,1822436,6.9,572000
20150729,1822436,6.9,572000
20150805,1826294,7,574000
20150812,1826294,7,574000
20150819,1826294,7,574000
20150826,1826294,7,574000
20150902,1818765,7.1,578000
20150909,1818765,7.1,578000
20150916,1818765,7.1,578000
